Circuit delay: 3402.70126 ps

Gate slacks:
INPUT-P3_WR_REG_SCAN_IN: 3710.42009 ps
INPUT-SI_31_: 2665.62980 ps
INPUT-SI_30_: 2714.50414 ps
INPUT-SI_29_: 2709.19397 ps
INPUT-SI_28_: 2693.10349 ps
INPUT-SI_27_: 2648.31575 ps
INPUT-SI_26_: 2613.72042 ps
INPUT-SI_25_: 2572.64561 ps
INPUT-SI_24_: 2534.33735 ps
INPUT-SI_23_: 2493.30591 ps
INPUT-SI_22_: 2454.95428 ps
INPUT-SI_21_: 2415.26275 ps
INPUT-SI_20_: 2375.57122 ps
INPUT-SI_19_: 2335.87968 ps
INPUT-SI_18_: 2296.18815 ps
INPUT-SI_17_: 2256.49656 ps
INPUT-SI_16_: 2216.79552 ps
INPUT-SI_15_: 2142.59066 ps
INPUT-SI_14_: 2109.51324 ps
INPUT-SI_13_: 2076.43737 ps
INPUT-SI_12_: 2043.36244 ps
INPUT-SI_11_: 2041.37722 ps
INPUT-SI_10_: 2081.47031 ps
INPUT-SI_9_: 2048.39289 ps
INPUT-SI_8_: 2015.31795 ps
INPUT-SI_7_: 2013.56925 ps
INPUT-SI_6_: 2026.51198 ps
INPUT-SI_5_: 1993.43549 ps
INPUT-SI_4_: 1988.33291 ps
INPUT-SI_3_: 1980.64235 ps
INPUT-SI_2_: 1969.93379 ps
INPUT-SI_1_: 1972.53989 ps
INPUT-SI_0_: 1972.53989 ps
INPUT-P3_RD_REG_SCAN_IN: 3710.42009 ps
INPUT-P3_STATE_REG_SCAN_IN: 3019.97259 ps
INPUT-P3_REG3_REG_7__SCAN_IN: 2014.30868 ps
INPUT-P3_REG3_REG_27__SCAN_IN: 2478.70213 ps
INPUT-P3_REG3_REG_14__SCAN_IN: 2220.53779 ps
INPUT-P3_REG3_REG_23__SCAN_IN: 2392.64735 ps
INPUT-P3_REG3_REG_10__SCAN_IN: 2134.48265 ps
INPUT-P3_REG3_REG_3__SCAN_IN: 2014.30868 ps
INPUT-P3_REG3_REG_19__SCAN_IN: 2306.59257 ps
INPUT-P3_REG3_REG_28__SCAN_IN: 2531.67720 ps
INPUT-P3_REG3_REG_8__SCAN_IN: 2091.36527 ps
INPUT-P3_REG3_REG_1__SCAN_IN: 2366.77115 ps
INPUT-P3_REG3_REG_21__SCAN_IN: 2349.61996 ps
INPUT-P3_REG3_REG_12__SCAN_IN: 2177.51040 ps
INPUT-P3_REG3_REG_25__SCAN_IN: 2435.67474 ps
INPUT-P3_REG3_REG_16__SCAN_IN: 2263.56518 ps
INPUT-P3_REG3_REG_5__SCAN_IN: 2014.30868 ps
INPUT-P3_REG3_REG_17__SCAN_IN: 2263.56518 ps
INPUT-P3_REG3_REG_24__SCAN_IN: 2435.67474 ps
INPUT-P3_REG3_REG_4__SCAN_IN: 2014.30868 ps
INPUT-P3_REG3_REG_9__SCAN_IN: 2091.36527 ps
INPUT-P3_REG3_REG_0__SCAN_IN: 2375.67577 ps
INPUT-P3_REG3_REG_20__SCAN_IN: 2349.61996 ps
INPUT-P3_REG3_REG_13__SCAN_IN: 2177.51040 ps
INPUT-P3_REG3_REG_22__SCAN_IN: 2392.64735 ps
INPUT-P3_REG3_REG_11__SCAN_IN: 2134.48265 ps
