Circuit delay: 777.29576 ps

Gate slacks:
INPUT-X_IN_5_: 815.82103 ps
INPUT-X_IN_4_: 815.82103 ps
INPUT-X_IN_3_: 815.82103 ps
INPUT-X_IN_2_: 815.82103 ps
INPUT-X_IN_1_: 815.82103 ps
INPUT-X_IN_0_: 815.82103 ps
INPUT-STBI: 758.97340 ps
INPUT-STATO_REG_0__SCAN_IN: 534.49149 ps
INPUT-STATO_REG_1__SCAN_IN: 514.55679 ps
INPUT-STATO_REG_2__SCAN_IN: 503.12607 ps
INPUT-STATO_REG_3__SCAN_IN: 251.90208 ps
INPUT-X_OUT_REG_0__SCAN_IN: 800.18380 ps
INPUT-X_OUT_REG_1__SCAN_IN: 800.18380 ps
INPUT-X_OUT_REG_2__SCAN_IN: 800.18380 ps
INPUT-X_OUT_REG_3__SCAN_IN: 800.18380 ps
INPUT-X_OUT_REG_4__SCAN_IN: 800.18380 ps
INPUT-X_OUT_REG_5__SCAN_IN: 800.18380 ps
INPUT-CONT1_REG_0__SCAN_IN: 258.31541 ps
INPUT-CONT1_REG_1__SCAN_IN: 299.33147 ps
INPUT-R_IN_REG_5__SCAN_IN: 320.70387 ps
INPUT-R_IN_REG_4__SCAN_IN: 314.48824 ps
INPUT-R_IN_REG_3__SCAN_IN: 77.72958 ps
INPUT-R_IN_REG_2__SCAN_IN: 183.37094 ps
INPUT-R_IN_REG_1__SCAN_IN: 284.96467 ps
INPUT-R_IN_REG_0__SCAN_IN: 310.94416 ps
INPUT-CONT_REG_5__SCAN_IN: 623.79166 ps
INPUT-CONT_REG_4__SCAN_IN: 589.88042 ps
INPUT-CONT_REG_3__SCAN_IN: 576.41134 ps
INPUT-CONT_REG_2__SCAN_IN: 537.81949 ps
INPUT-CONT_REG_1__SCAN_IN: 528.85073 ps
INPUT-CONT_REG_0__SCAN_IN: 534.77205 ps
INPUT-CONT1_REG_8__SCAN_IN: 487.54453 ps
INPUT-CONT1_REG_7__SCAN_IN: 433.12279 ps
INPUT-CONT1_REG_6__SCAN_IN: 433.12279 ps
INPUT-CONT1_REG_5__SCAN_IN: 433.12279 ps
INPUT-CONT1_REG_4__SCAN_IN: 383.61403 ps
INPUT-CONT1_REG_3__SCAN_IN: 383.61403 ps
INPUT-CONT1_REG_2__SCAN_IN: 364.01140 ps
NOT-U418: 779.07477 ps
NOT-U388: 555.95599 ps
NOT-U386: 588.68422 ps
NAND-U424: 804.18259 ps
NAND-U452: 558.79834 ps
AND-U324: 572.54527 ps
NOR-U330: 571.96826 ps
NOT-U387: 503.12607 ps
OR-U551: 758.97340 ps
NOT-U402: 251.90208 ps
OUTPUT-X_OUT_REG_0__SCAN_IN: 855.02533 ps
OUTPUT-X_OUT_REG_1__SCAN_IN: 855.02533 ps
OUTPUT-X_OUT_REG_2__SCAN_IN: 855.02533 ps
OUTPUT-X_OUT_REG_3__SCAN_IN: 855.02533 ps
OUTPUT-X_OUT_REG_4__SCAN_IN: 855.02533 ps
OUTPUT-X_OUT_REG_5__SCAN_IN: 855.02533 ps
AND-U312: 300.19961 ps
NOT-R229_U5: 258.31541 ps
NOT-R254_U23: 372.10525 ps
NOT-U401: 320.05754 ps
NOT-R229_U7: 649.49649 ps
AND-GT_80_U7: 336.80534 ps
NOT-ADD_88_U5: 692.54172 ps
NOT-R254_U24: 404.71169 ps
NOT-U389: 320.70387 ps
NOT-R254_U9: 592.44017 ps
NOT-U390: 314.48824 ps
NOT-R254_U8: 552.74864 ps
NOT-U359: 77.72958 ps
NOT-R254_U7: 513.05710 ps
NOT-U358: 183.37094 ps
NOT-R254_U6: 473.36556 ps
NOT-U331: 284.96467 ps
OR-U552: 758.97340 ps
NAND-R254_U76: 397.91777 ps
NAND-R254_U78: 409.87569 ps
NAND-R254_U81: 430.75039 ps
NAND-R254_U83: 443.95338 ps
NOT-U391: 310.94416 ps
NOT-R254_U5: 400.84403 ps
NOT-ADD_53_U18: 776.14407 ps
NOT-U395: 589.88042 ps
NOT-ADD_53_U12: 775.86860 ps
NOT-U396: 576.41134 ps
NOT-ADD_53_U10: 775.86864 ps
NOT-ADD_53_U8: 775.87297 ps
NOT-U397: 528.85073 ps
NOT-ADD_53_U6: 776.23353 ps
NOT-ADD_53_U5: 770.20184 ps
NAND-ADD_53_U7: 644.57798 ps
NOT-U403: 749.87541 ps
NOT-R229_U31: 676.07355 ps
NOT-ADD_88_U21: 738.03135 ps
NOT-R254_U30: 687.83399 ps
NAND-R254_U109: 704.87762 ps
NOT-R229_U16: 661.18283 ps
NOT-ADD_88_U14: 737.75572 ps
NOT-R254_U22: 662.39226 ps
NAND-R254_U73: 679.57108 ps
NOT-R229_U14: 590.56058 ps
NOR-GT_87_U7: 463.17539 ps
NOT-ADD_88_U12: 751.29062 ps
NOT-R254_U29: 625.04662 ps
NAND-R254_U106: 642.22544 ps
AND-U310: 471.71544 ps
NOT-R229_U12: 519.93794 ps
NOT-ADD_88_U10: 677.26188 ps
NOT-R254_U28: 563.48033 ps
NAND-R254_U101: 589.51903 ps
NAND-R254_U103: 602.71961 ps
NOT-U399: 501.04579 ps
NOT-R229_U10: 447.65816 ps
NOT-ADD_88_U23: 603.39879 ps
NOT-R254_U27: 523.78880 ps
NAND-R254_U96: 549.82750 ps
NAND-R254_U98: 563.02808 ps
NOT-U400: 430.38572 ps
NOT-R229_U9: 408.42008 ps
