Circuit delay: 1039.62255 ps

Gate slacks:
INPUT-1: 1061.25942 ps
INPUT-4: 727.11116 ps
INPUT-11: 1033.57956 ps
INPUT-14: 1033.57956 ps
INPUT-17: 1033.46190 ps
INPUT-20: 1033.46190 ps
INPUT-23: 1018.75053 ps
INPUT-24: 1018.75053 ps
INPUT-25: 1018.75053 ps
INPUT-26: 1018.75053 ps
INPUT-27: 904.30143 ps
INPUT-31: 904.30143 ps
INPUT-34: 1044.91919 ps
INPUT-37: 1033.46190 ps
INPUT-40: 1033.46190 ps
INPUT-43: 1033.57956 ps
INPUT-46: 1033.57956 ps
INPUT-49: 1033.46190 ps
INPUT-52: 920.52307 ps
INPUT-53: 920.52308 ps
INPUT-54: 727.11116 ps
INPUT-61: 1033.46190 ps
INPUT-64: 1033.46190 ps
INPUT-67: 1033.57956 ps
INPUT-70: 1033.46190 ps
INPUT-73: 1033.57956 ps
INPUT-76: 1033.57956 ps
INPUT-79: 1018.75053 ps
INPUT-80: 1018.75053 ps
INPUT-81: 1018.75053 ps
INPUT-82: 1018.75053 ps
INPUT-83: 1044.91623 ps
INPUT-86: 1044.91623 ps
INPUT-87: 1044.91919 ps
INPUT-88: 1044.91623 ps
INPUT-91: 1033.57956 ps
INPUT-94: 956.99964 ps
INPUT-97: 956.99964 ps
INPUT-100: 1033.57956 ps
INPUT-103: 1033.46190 ps
INPUT-106: 1033.46190 ps
INPUT-109: 1033.57956 ps
INPUT-112: 920.52308 ps
INPUT-113: 920.52308 ps
INPUT-114: 920.52308 ps
INPUT-115: 920.52308 ps
INPUT-116: 920.52308 ps
INPUT-117: 920.51342 ps
INPUT-118: 1033.63136 ps
INPUT-119: 920.51342 ps
INPUT-120: 1033.63136 ps
INPUT-121: 920.52308 ps
INPUT-122: 920.52307 ps
INPUT-123: 920.52270 ps
INPUT-126: 920.51342 ps
INPUT-127: 920.51342 ps
INPUT-128: 920.51342 ps
INPUT-129: 920.51342 ps
INPUT-130: 920.51342 ps
INPUT-131: 920.51342 ps
INPUT-132: 948.19227 ps
INPUT-135: 1063.49650 ps
INPUT-136: 1102.45771 ps
INPUT-137: 1034.97032 ps
INPUT-140: 1119.96008 ps
INPUT-141: 1052.76967 ps
INPUT-145: 1102.45771 ps
INPUT-146: 1018.42528 ps
INPUT-149: 1018.54636 ps
INPUT-152: 1018.42528 ps
INPUT-155: 1018.54636 ps
INPUT-158: 1018.42528 ps
INPUT-161: 1018.42528 ps
INPUT-164: 1018.42528 ps
INPUT-167: 1018.42528 ps
INPUT-170: 1018.42528 ps
INPUT-173: 1018.42528 ps
INPUT-176: 1007.12197 ps
INPUT-179: 1007.00089 ps
INPUT-182: 1018.54636 ps
INPUT-185: 1018.42528 ps
INPUT-188: 1018.54636 ps
INPUT-191: 1018.54636 ps
INPUT-194: 1018.54636 ps
INPUT-197: 1018.54636 ps
INPUT-200: 1018.54636 ps
INPUT-203: 1018.54636 ps
INPUT-206: 503.35301 ps
INPUT-209: 503.34956 ps
INPUT-210: 274.50830 ps
INPUT-217: 274.50484 ps
INPUT-218: 262.11691 ps
INPUT-225: 262.11346 ps
INPUT-226: 283.46478 ps
INPUT-233: 283.46136 ps
INPUT-234: 395.97748 ps
INPUT-241: 395.97403 ps
INPUT-242: 557.43696 ps
INPUT-245: 1081.89416 ps
INPUT-248: 538.56628 ps
INPUT-251: 538.56628 ps
INPUT-254: 557.43696 ps
INPUT-257: 215.93687 ps
INPUT-264: 215.93342 ps
INPUT-265: 163.32200 ps
INPUT-272: 163.31855 ps
INPUT-273: 172.79610 ps
INPUT-280: 172.79265 ps
INPUT-281: 201.33451 ps
INPUT-288: 201.33108 ps
INPUT-289: 736.09086 ps
INPUT-292: 736.08738 ps
INPUT-293: 547.69101 ps
INPUT-299: 547.68759 ps
INPUT-302: 322.68490 ps
INPUT-307: 322.68147 ps
INPUT-308: 262.11691 ps
INPUT-315: 262.11346 ps
INPUT-316: 283.55665 ps
INPUT-323: 283.55323 ps
INPUT-324: 395.97748 ps
INPUT-331: 395.97403 ps
INPUT-332: 103.96226 ps
INPUT-335: 104.05469 ps
INPUT-338: 215.93341 ps
INPUT-341: 163.32194 ps
INPUT-348: 163.31855 ps
INPUT-351: 172.79605 ps
INPUT-358: 172.79265 ps
INPUT-361: 228.36611 ps
INPUT-366: 228.36273 ps
INPUT-369: 750.66548 ps
INPUT-372: 750.66207 ps
INPUT-373: 1107.83052 ps
INPUT-374: 266.12859 ps
INPUT-386: 1025.06090 ps
INPUT-389: 275.11337 ps
INPUT-400: 222.49925 ps
INPUT-411: 231.97222 ps
INPUT-422: 353.26980 ps
INPUT-435: 455.15018 ps
INPUT-446: 562.52373 ps
INPUT-457: 333.68366 ps
INPUT-468: 321.29190 ps
INPUT-479: 321.29190 ps
INPUT-490: 353.36167 ps
INPUT-503: 455.15018 ps
INPUT-514: 275.11337 ps
INPUT-523: 222.49925 ps
INPUT-534: 231.97222 ps
INPUT-545: 1121.73634 ps
INPUT-549: 1087.37185 ps
INPUT-552: 1025.06090 ps
INPUT-556: 1025.06090 ps
INPUT-559: 1025.06090 ps
INPUT-562: 1010.50836 ps
INPUT-566: 738.79003 ps
INPUT-571: 912.48383 ps
INPUT-574: 912.85255 ps
INPUT-577: 912.48383 ps
INPUT-580: 912.85255 ps
INPUT-583: 738.79003 ps
INPUT-588: 937.20059 ps
INPUT-591: 1082.80849 ps
INPUT-592: 1094.18738 ps
INPUT-595: 787.08221 ps
INPUT-596: 790.05003 ps
INPUT-597: 771.23575 ps
INPUT-598: 768.04942 ps
INPUT-599: 1006.60192 ps
INPUT-603: 1006.61206 ps
INPUT-607: 939.03092 ps
INPUT-610: 938.94141 ps
INPUT-613: 938.94141 ps
INPUT-616: 939.03092 ps
INPUT-619: 839.70527 ps
INPUT-625: 839.93000 ps
INPUT-631: 1063.49650 ps
BUFF-1479: 1061.25942 ps
BUFF-1851: 849.95434 ps
AND-1475: 904.30143 ps
AND-1583: 1053.82684 ps
BUFF-1899: 849.95487 ps
BUFF-1209: 1034.97032 ps
BUFF-1213: 1038.25927 ps
BUFF-709: 1111.78968 ps
BUFF-1216: 1052.76967 ps
AND-1147: 1102.45771 ps
BUFF-1469: 577.20294 ps
BUFF-1375: 795.17593 ps
BUFF-1378: 779.93727 ps
BUFF-1636: 647.95507 ps
BUFF-1639: 632.71274 ps
BUFF-1968: 839.62001 ps
BUFF-1381: 795.17593 ps
BUFF-1384: 779.93727 ps
BUFF-1642: 647.85627 ps
BUFF-1645: 632.61395 ps
BUFF-1962: 839.54721 ps
BUFF-1387: 795.17593 ps
BUFF-1390: 779.93727 ps
BUFF-1648: 647.85627 ps
BUFF-1651: 632.61395 ps
BUFF-1965: 839.54721 ps
BUFF-1393: 795.17593 ps
BUFF-1396: 779.93726 ps
BUFF-1654: 572.65704 ps
BUFF-1657: 557.41471 ps
BUFF-1956: 764.34858 ps
BUFF-1663: 557.43696 ps
BUFF-1675: 563.11600 ps
NOT-1152: 1121.73634 ps
BUFF-1303: 538.56628 ps
BUFF-1315: 538.56628 ps
BUFF-1280: 538.56628 ps
BUFF-1292: 541.75931 ps
BUFF-1271: 566.09703 ps
BUFF-1685: 557.43696 ps
BUFF-1415: 795.17593 ps
BUFF-1418: 779.93726 ps
BUFF-1542: 572.65704 ps
BUFF-1545: 557.41471 ps
BUFF-1959: 764.34858 ps
BUFF-1421: 795.17593 ps
BUFF-1424: 779.93726 ps
BUFF-1548: 587.23767 ps
BUFF-1551: 571.99535 ps
BUFF-1950: 778.92863 ps
BUFF-1427: 795.17593 ps
BUFF-1430: 779.93726 ps
BUFF-1554: 587.23767 ps
BUFF-1557: 571.99535 ps
BUFF-1953: 778.92863 ps
BUFF-1433: 795.17593 ps
BUFF-1436: 779.93726 ps
BUFF-1560: 621.14720 ps
BUFF-1563: 605.91336 ps
BUFF-1944: 778.92863 ps
BUFF-1947: 778.92863 ps
BUFF-816: 1111.78968 ps
BUFF-1492: 812.52005 ps
BUFF-1612: 686.62569 ps
BUFF-1938: 839.89271 ps
BUFF-1821: 1065.35444 ps
BUFF-1495: 822.52374 ps
BUFF-1615: 675.36782 ps
BUFF-1941: 839.89271 ps
BUFF-1498: 795.16872 ps
BUFF-1501: 779.92994 ps
BUFF-1618: 648.34199 ps
BUFF-1621: 633.00549 ps
BUFF-1932: 839.89271 ps
BUFF-1504: 795.16872 ps
BUFF-1507: 779.92994 ps
BUFF-1624: 648.34199 ps
BUFF-1627: 633.00549 ps
BUFF-1935: 839.89271 ps
BUFF-1510: 795.17593 ps
BUFF-1513: 779.93726 ps
BUFF-1594: 572.79732 ps
BUFF-1597: 557.46082 ps
NOT-1660: 819.17825 ps
BUFF-1566: 103.96226 ps
BUFF-1573: 202.84960 ps
BUFF-1455: 104.05469 ps
BUFF-1462: 202.84960 ps
NOT-1144: 1121.73634 ps
BUFF-1516: 795.17593 ps
BUFF-1519: 779.93726 ps
BUFF-1600: 587.37796 ps
BUFF-1603: 572.04146 ps
BUFF-1926: 778.93009 ps
NOT-1138: 1121.73634 ps
BUFF-1522: 795.17593 ps
BUFF-1525: 779.93726 ps
BUFF-1606: 587.37796 ps
BUFF-1609: 572.04146 ps
BUFF-1929: 778.93009 ps
NOT-1145: 1121.73634 ps
BUFF-1630: 641.82763 ps
BUFF-1633: 829.18908 ps
BUFF-1920: 778.93009 ps
NOT-1139: 1121.73634 ps
BUFF-1923: 778.93009 ps
NAND-1146: 1107.83052 ps
BUFF-1848: 620.97473 ps
BUFF-1878: 266.12859 ps
BUFF-1839: 578.31278 ps
BUFF-1866: 275.11337 ps
BUFF-1842: 574.55013 ps
BUFF-1869: 222.49925 ps
BUFF-1845: 578.31278 ps
BUFF-1872: 231.97222 ps
BUFF-1833: 647.78900 ps
BUFF-1875: 353.26980 ps
BUFF-1836: 589.69509 ps
BUFF-1863: 455.15018 ps
BUFF-1824: 710.46655 ps
BUFF-1854: 562.52373 ps
BUFF-1827: 618.83705 ps
BUFF-1857: 333.68366 ps
BUFF-1830: 618.83705 ps
BUFF-1860: 321.29190 ps
BUFF-1881: 599.66944 ps
BUFF-1902: 321.29190 ps
BUFF-1884: 628.62146 ps
BUFF-1917: 353.36167 ps
BUFF-1887: 570.52748 ps
BUFF-1905: 455.15018 ps
BUFF-1890: 559.14516 ps
BUFF-1908: 275.11337 ps
BUFF-1893: 555.38252 ps
BUFF-1911: 222.49925 ps
BUFF-1896: 559.14516 ps
BUFF-1914: 231.97222 ps
NOT-1137: 1121.73634 ps
NOT-1142: 1121.73634 ps
NOT-1143: 1121.73634 ps
NOT-1141: 1121.73634 ps
BUFF-1580: 1087.37185 ps
NOT-1153: 1121.73634 ps
AND-1151: 1091.08177 ps
NOT-1155: 1121.73634 ps
AND-1156: 1025.06090 ps
AND-1140: 1102.45771 ps
NOT-1154: 1121.73634 ps
NOT-1157: 738.79003 ps
BUFF-1161: 923.90821 ps
BUFF-1185: 912.48383 ps
BUFF-1173: 924.00033 ps
BUFF-1197: 912.85255 ps
BUFF-1223: 923.90821 ps
BUFF-1247: 912.48383 ps
BUFF-1235: 924.00033 ps
BUFF-1259: 912.85255 ps
NOT-1219: 738.79003 ps
BUFF-1482: 937.20059 ps
NOT-1588: 1002.15376 ps
NOT-1043: 1082.80849 ps
BUFF-1066: 1111.78968 ps
NOT-1148: 1094.18738 ps
NOT-1067: 787.08221 ps
NOT-1080: 790.05003 ps
NOT-1092: 771.23575 ps
NOT-1104: 768.04942 ps
NOT-1755: 1006.60192 ps
NOT-1758: 1006.61206 ps
BUFF-1339: 939.03096 ps
BUFF-1709: 939.03092 ps
BUFF-1327: 938.94141 ps
BUFF-1697: 938.94141 ps
BUFF-1351: 938.94141 ps
BUFF-1731: 938.94141 ps
BUFF-1363: 939.03096 ps
BUFF-1743: 939.03092 ps
BUFF-1727: 867.59152 ps
BUFF-1761: 839.70527 ps
BUFF-1777: 839.70527 ps
BUFF-1793: 843.18554 ps
BUFF-1807: 843.18518 ps
BUFF-1721: 904.08078 ps
BUFF-1769: 839.93000 ps
BUFF-1785: 839.93000 ps
BUFF-1800: 843.40062 ps
BUFF-1814: 843.27747 ps
AND-1042: 1063.49650 ps
BUFF-2309: 1089.80999 ps
BUFF-2704: 1061.25942 ps
NOT-2637: 849.95434 ps
NAND-2590: 1076.90322 ps
NOT-2623: 1078.57963 ps
NOT-2891: 904.30143 ps
NOT-2715: 849.95487 ps
BUFF-2139: 1086.53111 ps
BUFF-2647: 1046.41268 ps
BUFF-2675: 1034.97032 ps
BUFF-2722: 1049.70159 ps
BUFF-2750: 1038.25927 ps
OUTPUT-709: 1111.78968 ps
BUFF-2142: 1089.80999 ps
BUFF-2877: 1052.76967 ps
OUTPUT-1147: 1102.45771 ps
BUFF-3000: 592.44732 ps
BUFF-3003: 577.20294 ps
BUFF-3007: 770.81364 ps
BUFF-3010: 755.57925 ps
BUFF-3200: 808.03659 ps
NOT-2823: 795.17593 ps
NOT-2824: 779.93727 ps
NOT-3015: 647.95507 ps
NOT-3016: 632.71274 ps
NOT-3203: 839.62001 ps
NOT-2825: 795.17593 ps
NOT-2826: 779.93727 ps
NOT-3017: 647.85627 ps
NOT-3018: 632.61395 ps
NOT-3198: 839.54721 ps
NOT-2827: 795.17593 ps
NOT-2828: 779.93727 ps
NOT-3019: 647.85627 ps
NOT-3020: 632.61395 ps
NOT-3199: 839.54721 ps
NOT-2829: 795.17593 ps
NOT-2830: 779.93726 ps
NOT-3021: 572.65704 ps
NOT-3022: 557.41471 ps
NOT-3145: 764.34858 ps
AND-3027: 632.73499 ps
AND-3028: 632.63620 ps
AND-3029: 632.63620 ps
AND-3030: 557.43696 ps
OR-2984: 601.09453 ps
OUTPUT-1152: 1121.73634 ps
AND-3023: 613.86431 ps
AND-3024: 613.76552 ps
AND-3025: 613.76552 ps
AND-3026: 538.56628 ps
AND-2980: 575.30273 ps
NOT-2839: 795.17593 ps
NOT-2840: 779.93726 ps
NOT-2926: 572.65704 ps
AND-2938: 557.43696 ps
NOT-2927: 557.41471 ps
AND-2934: 538.56628 ps
NOT-3146: 764.34858 ps
NOT-2841: 795.17593 ps
NOT-2842: 779.93726 ps
NOT-2928: 587.23767 ps
AND-2939: 572.01760 ps
NOT-2929: 571.99535 ps
AND-2935: 553.14692 ps
NOT-3143: 778.92863 ps
NOT-2843: 795.17593 ps
NOT-2844: 779.93726 ps
NOT-2930: 587.23767 ps
AND-2940: 572.01760 ps
NOT-2931: 571.99535 ps
AND-2936: 553.14692 ps
NOT-3144: 778.92863 ps
NOT-2845: 795.17593 ps
NOT-2846: 779.93726 ps
NOT-2932: 621.14720 ps
AND-2941: 605.92712 ps
NOT-2933: 605.91336 ps
AND-2937: 587.06494 ps
NOT-3141: 778.92863 ps
NOT-3142: 778.92863 ps
OUTPUT-816: 1111.78968 ps
NOT-2901: 812.52005 ps
AND-2910: 797.29998 ps
NOT-2987: 686.62569 ps
AND-2996: 676.96069 ps
NOT-3196: 839.89271 ps
BUFF-2527: 1089.80999 ps
BUFF-3191: 1065.35444 ps
NOT-2902: 822.52374 ps
AND-2907: 807.30366 ps
NOT-2988: 675.36782 ps
AND-2993: 660.11700 ps
NOT-3197: 839.89271 ps
NOT-2903: 795.16872 ps
AND-2911: 779.94865 ps
NOT-2904: 779.92994 ps
AND-2908: 761.08151 ps
NOT-2989: 648.34199 ps
AND-2997: 638.66067 ps
NOT-2990: 633.00549 ps
AND-2994: 614.11095 ps
NOT-3194: 839.89271 ps
NOT-2905: 795.16872 ps
AND-2912: 779.94865 ps
NOT-2906: 779.92994 ps
AND-2909: 761.08151 ps
NOT-2991: 648.34199 ps
AND-2998: 638.66067 ps
NOT-2992: 633.00549 ps
AND-2995: 614.11095 ps
NOT-3195: 839.89271 ps
NOT-2913: 795.17593 ps
NOT-2914: 779.93726 ps
NOT-2973: 572.79732 ps
AND-2983: 563.11600 ps
NOT-2974: 557.46082 ps
AND-2979: 538.56628 ps
BUFF-3035: 819.17825 ps
BUFF-3038: 819.17825 ps
NOT-2942: 103.96226 ps
AND-2954: 714.11692 ps
AND-2955: 191.81758 ps
AND-2956: 136.24750 ps
AND-2957: 126.77340 ps
AND-2958: 179.38827 ps
NOT-2948: 202.84960 ps
AND-2959: 359.42888 ps
AND-2960: 247.00809 ps
AND-2961: 225.56831 ps
AND-2962: 286.13632 ps
AND-2963: 511.14244 ps
NOT-2855: 104.05469 ps
AND-2867: 699.54224 ps
AND-2868: 164.78593 ps
AND-2869: 136.24750 ps
AND-2870: 126.77340 ps
AND-2871: 179.38828 ps
NOT-2861: 202.84960 ps
AND-2872: 359.42888 ps
AND-2873: 246.91621 ps
AND-2874: 225.56831 ps
AND-2875: 237.95970 ps
AND-2876: 466.80441 ps
OUTPUT-1144: 1121.73634 ps
NOT-2915: 795.17593 ps
NOT-2916: 779.93726 ps
NOT-2975: 587.37796 ps
AND-2985: 577.69663 ps
NOT-2976: 572.04146 ps
AND-2981: 553.14692 ps
NOT-3033: 778.93009 ps
OUTPUT-1138: 1121.73634 ps
NOT-2917: 795.17593 ps
NOT-2918: 779.93726 ps
NOT-2977: 587.37796 ps
AND-2986: 577.69663 ps
NOT-2978: 572.04146 ps
AND-2982: 553.14692 ps
NOT-3034: 778.93009 ps
