Circuit delay: 2247.29215 ps

Gate slacks:
INPUT-DATAI_31_: 2269.48535 ps
INPUT-DATAI_30_: 2269.48535 ps
INPUT-DATAI_29_: 2269.48535 ps
INPUT-DATAI_28_: 2269.48535 ps
INPUT-DATAI_27_: 2269.48535 ps
INPUT-DATAI_26_: 2269.48535 ps
INPUT-DATAI_25_: 2269.48535 ps
INPUT-DATAI_24_: 2269.48535 ps
INPUT-DATAI_23_: 2269.33441 ps
INPUT-DATAI_22_: 2269.33441 ps
INPUT-DATAI_21_: 2269.33441 ps
INPUT-DATAI_20_: 2269.33441 ps
INPUT-DATAI_19_: 2269.33441 ps
INPUT-DATAI_18_: 2269.33441 ps
INPUT-DATAI_17_: 2269.33441 ps
INPUT-DATAI_16_: 2269.33441 ps
INPUT-DATAI_15_: 2397.55907 ps
INPUT-DATAI_14_: 2397.55907 ps
INPUT-DATAI_13_: 2397.55907 ps
INPUT-DATAI_12_: 2397.55907 ps
INPUT-DATAI_11_: 2397.55907 ps
INPUT-DATAI_10_: 2397.55907 ps
INPUT-DATAI_9_: 2397.55907 ps
INPUT-DATAI_8_: 2397.55907 ps
INPUT-DATAI_7_: 2311.78720 ps
INPUT-DATAI_6_: 2311.78720 ps
INPUT-DATAI_5_: 2311.78720 ps
INPUT-DATAI_4_: 2311.78720 ps
INPUT-DATAI_3_: 2311.78720 ps
INPUT-DATAI_2_: 2311.78720 ps
INPUT-DATAI_1_: 2311.78720 ps
INPUT-DATAI_0_: 2311.78720 ps
INPUT-MEMORYFETCH_REG_SCAN_IN: 2420.60162 ps
INPUT-NA_N: 2385.89202 ps
INPUT-BS16_N: 2389.78463 ps
INPUT-READY_N: 1764.94327 ps
INPUT-HOLD: 2307.27621 ps
INPUT-READREQUEST_REG_SCAN_IN: 2418.42851 ps
INPUT-ADS_N_REG_SCAN_IN: 2434.85722 ps
INPUT-CODEFETCH_REG_SCAN_IN: 2402.55127 ps
INPUT-M_IO_N_REG_SCAN_IN: 2423.28129 ps
INPUT-D_C_N_REG_SCAN_IN: 2404.36657 ps
INPUT-REQUESTPENDING_REG_SCAN_IN: 2315.65350 ps
INPUT-STATEBS16_REG_SCAN_IN: 289.09730 ps
INPUT-MORE_REG_SCAN_IN: 2177.31853 ps
INPUT-FLUSH_REG_SCAN_IN: 2026.70606 ps
INPUT-W_R_N_REG_SCAN_IN: 2423.28129 ps
INPUT-BYTEENABLE_REG_0__SCAN_IN: 2429.35627 ps
INPUT-BYTEENABLE_REG_1__SCAN_IN: 2415.64983 ps
INPUT-BYTEENABLE_REG_2__SCAN_IN: 2429.35627 ps
INPUT-BYTEENABLE_REG_3__SCAN_IN: 2415.64983 ps
INPUT-REIP_REG_31__SCAN_IN: 2322.05467 ps
INPUT-REIP_REG_30__SCAN_IN: 2301.69291 ps
INPUT-REIP_REG_29__SCAN_IN: 2264.54372 ps
INPUT-REIP_REG_28__SCAN_IN: 2227.39453 ps
