Circuit delay: 4985.31713 ps

Gate slacks:
INPUT-1: 952.68187 ps
INPUT-18: 864.17613 ps
INPUT-35: 838.06328 ps
INPUT-52: 811.95045 ps
INPUT-69: 785.83762 ps
INPUT-86: 759.72479 ps
INPUT-103: 733.61197 ps
INPUT-120: 707.49914 ps
INPUT-137: 681.38631 ps
INPUT-154: 655.27348 ps
INPUT-171: 629.16065 ps
INPUT-188: 603.04783 ps
INPUT-205: 576.93500 ps
INPUT-222: 550.82217 ps
INPUT-239: 524.70934 ps
INPUT-256: 498.53171 ps
INPUT-273: 498.53171 ps
INPUT-290: 587.03746 ps
INPUT-307: 795.25684 ps
INPUT-324: 1029.53231 ps
INPUT-341: 1263.80767 ps
INPUT-358: 1498.08302 ps
INPUT-375: 1732.35838 ps
INPUT-392: 1966.63373 ps
INPUT-409: 2200.90909 ps
INPUT-426: 2435.18444 ps
INPUT-443: 2669.45980 ps
INPUT-460: 2903.73515 ps
INPUT-477: 3138.01051 ps
INPUT-494: 3372.28586 ps
INPUT-511: 3606.56122 ps
INPUT-528: 3840.83657 ps
AND-545: 5442.72174 ps
AND-591: 864.17613 ps
AND-639: 838.06328 ps
AND-687: 811.95045 ps
AND-735: 785.83762 ps
AND-783: 759.72479 ps
AND-831: 733.61197 ps
AND-879: 707.49914 ps
AND-927: 681.38631 ps
AND-975: 655.27348 ps
AND-1023: 629.16065 ps
AND-1071: 603.04783 ps
AND-1119: 576.93500 ps
AND-1167: 550.82217 ps
AND-1215: 524.70934 ps
AND-1263: 498.53171 ps
AND-546: 952.68187 ps
AND-594: 926.56902 ps
AND-642: 900.45619 ps
AND-690: 874.34336 ps
AND-738: 848.23053 ps
AND-786: 822.11771 ps
AND-834: 796.00488 ps
AND-882: 769.89205 ps
AND-930: 743.77922 ps
AND-978: 717.66640 ps
AND-1026: 691.55357 ps
AND-1074: 665.44074 ps
AND-1122: 639.32791 ps
AND-1170: 613.21509 ps
AND-1218: 587.03746 ps
AND-1266: 678.05447 ps
AND-549: 1160.83654 ps
AND-597: 1134.72371 ps
AND-645: 1108.61089 ps
AND-693: 1082.49806 ps
AND-741: 1056.38523 ps
AND-789: 1030.27240 ps
AND-837: 1004.15958 ps
AND-885: 978.04675 ps
AND-933: 951.93392 ps
AND-981: 925.82109 ps
AND-1029: 899.70827 ps
AND-1077: 873.59544 ps
AND-1125: 847.48261 ps
AND-1173: 821.36978 ps
AND-1221: 795.25684 ps
AND-1269: 975.57068 ps
AND-552: 1368.99907 ps
AND-600: 1342.88624 ps
AND-648: 1316.77341 ps
AND-696: 1290.66059 ps
AND-744: 1264.54776 ps
AND-792: 1238.43493 ps
AND-840: 1212.32210 ps
AND-888: 1186.20928 ps
AND-936: 1160.09645 ps
AND-984: 1133.98362 ps
AND-1032: 1107.87079 ps
AND-1080: 1081.75797 ps
AND-1128: 1055.64514 ps
AND-1176: 1029.53231 ps
AND-1224: 1092.77312 ps
AND-1272: 1300.86303 ps
AND-555: 1577.16160 ps
AND-603: 1551.04877 ps
AND-651: 1524.93594 ps
AND-699: 1498.82311 ps
AND-747: 1472.71029 ps
AND-795: 1446.59746 ps
AND-843: 1420.48463 ps
AND-891: 1394.37180 ps
AND-939: 1368.25898 ps
AND-987: 1342.14615 ps
AND-1035: 1316.03332 ps
AND-1083: 1289.92049 ps
AND-1131: 1263.80767 ps
AND-1179: 1327.04860 ps
AND-1227: 1418.06547 ps
AND-1275: 1626.22811 ps
AND-558: 1785.32412 ps
AND-606: 1759.21130 ps
AND-654: 1733.09847 ps
AND-702: 1706.98564 ps
AND-750: 1680.87281 ps
AND-798: 1654.75999 ps
AND-846: 1628.64716 ps
AND-894: 1602.53433 ps
AND-942: 1576.42150 ps
AND-990: 1550.30868 ps
AND-1038: 1524.19585 ps
AND-1086: 1498.08302 ps
AND-1134: 1561.32395 ps
AND-1182: 1652.34095 ps
AND-1230: 1743.43056 ps
AND-1278: 1951.59384 ps
AND-561: 1993.48665 ps
AND-609: 1967.37382 ps
AND-657: 1941.26100 ps
AND-705: 1915.14817 ps
AND-753: 1889.03534 ps
AND-801: 1862.92251 ps
AND-849: 1836.80969 ps
AND-897: 1810.69686 ps
AND-945: 1784.58403 ps
AND-993: 1758.47120 ps
AND-1041: 1732.35838 ps
AND-1089: 1795.59931 ps
AND-1137: 1886.61630 ps
AND-1185: 1977.70603 ps
AND-1233: 2068.79628 ps
AND-1281: 2276.95957 ps
AND-564: 2201.64918 ps
AND-612: 2175.53635 ps
AND-660: 2149.42352 ps
AND-708: 2123.31070 ps
AND-756: 2097.19787 ps
AND-804: 2071.08504 ps
AND-852: 2044.97221 ps
AND-900: 2018.85939 ps
AND-948: 1992.74656 ps
AND-996: 1966.63373 ps
AND-1044: 2029.87466 ps
AND-1092: 2120.89166 ps
AND-1140: 2211.98138 ps
AND-1188: 2303.07176 ps
AND-1236: 2394.16201 ps
AND-1284: 2602.32531 ps
AND-567: 2409.81171 ps
AND-615: 2383.69888 ps
AND-663: 2357.58605 ps
AND-711: 2331.47322 ps
AND-759: 2305.36040 ps
AND-807: 2279.24757 ps
AND-855: 2253.13474 ps
AND-903: 2227.02191 ps
AND-951: 2200.90909 ps
AND-999: 2264.15002 ps
AND-1047: 2355.16701 ps
AND-1095: 2446.25674 ps
AND-1143: 2537.34711 ps
AND-1191: 2628.43749 ps
AND-1239: 2719.52775 ps
AND-1287: 2927.69104 ps
AND-570: 2617.97424 ps
AND-618: 2591.86141 ps
AND-666: 2565.74858 ps
AND-714: 2539.63575 ps
AND-762: 2513.52292 ps
AND-810: 2487.41010 ps
AND-858: 2461.29727 ps
AND-906: 2435.18444 ps
AND-954: 2498.42537 ps
