Circuit delay: 702.55794 ps

Gate slacks:
INPUT-1: 70.25579 ps
INPUT-5: 70.25579 ps
INPUT-9: 70.25579 ps
INPUT-13: 70.25579 ps
INPUT-17: 70.25579 ps
INPUT-21: 70.25579 ps
INPUT-25: 70.25579 ps
INPUT-29: 70.25579 ps
INPUT-33: 70.25579 ps
INPUT-37: 70.25579 ps
INPUT-41: 70.25579 ps
INPUT-45: 70.25579 ps
INPUT-49: 70.25579 ps
INPUT-53: 70.25579 ps
INPUT-57: 70.25579 ps
INPUT-61: 70.25579 ps
INPUT-65: 70.25579 ps
INPUT-69: 70.25579 ps
INPUT-73: 70.25579 ps
INPUT-77: 70.25579 ps
INPUT-81: 70.25579 ps
INPUT-85: 70.25579 ps
INPUT-89: 70.25579 ps
INPUT-93: 70.25579 ps
INPUT-97: 70.25579 ps
INPUT-101: 70.25579 ps
INPUT-105: 70.25579 ps
INPUT-109: 70.25579 ps
INPUT-113: 70.25579 ps
INPUT-117: 70.25579 ps
INPUT-121: 70.25579 ps
INPUT-125: 70.25579 ps
INPUT-129: 212.84386 ps
INPUT-130: 212.84386 ps
INPUT-131: 212.84386 ps
INPUT-132: 212.84386 ps
INPUT-133: 212.84386 ps
INPUT-134: 212.84386 ps
INPUT-135: 212.84386 ps
INPUT-136: 212.84386 ps
INPUT-137: 212.84386 ps
XOR-250: 70.25579 ps
XOR-251: 70.25579 ps
XOR-274: 191.55799 ps
XOR-252: 70.25579 ps
XOR-276: 191.55799 ps
XOR-278: 191.55799 ps
XOR-253: 70.25579 ps
XOR-280: 191.55799 ps
XOR-254: 70.25579 ps
XOR-255: 70.25579 ps
XOR-275: 191.55799 ps
XOR-256: 70.25579 ps
XOR-277: 191.55799 ps
XOR-279: 191.55799 ps
XOR-257: 70.25579 ps
XOR-281: 191.55799 ps
XOR-258: 70.25579 ps
XOR-259: 70.25579 ps
XOR-282: 191.55799 ps
XOR-260: 70.25579 ps
XOR-284: 191.55799 ps
